blockchain,pair,dex,ticker,supply,supply_apr,borrowed,borrowed_apr,leveraged_apr,leveraged_apr_multiplier
AVAX,USDC.e/USDT.e,TraderJoe,USDT.e,223176,0.2557,148915,0.4387,-20.72%,(20x)
AVAX,WBTC.e/AVAX,Pangolin,WBTC.e,178190,0.1244,100560,0.20120000000000002,317.62%,(10x)
AVAX,WBTC.e/AVAX,Pangolin,AVAX,212390,0.24609999999999999,138653,0.4313,317.62%,(10x)
AVAX,AVAX/USDT.e,Pangolin,AVAX,148509,0.36060000000000003,123447,0.5852,347.08%,(5x)
AVAX,AVAX/USDT.e,Pangolin,USDT.e,140768,0.179,88720,0.3234,347.08%,(5x)
AVAX,USDC.e/DAI.e,TraderJoe,USDC.e,103366,0.2664,73500,0.4569,183.92%,(20x)
AVAX,USDC.e/DAI.e,TraderJoe,DAI.e,101250,0.24719999999999998,71591,0.42100000000000004,183.92%,(20x)
AVAX,USDT.e/DAI.e,TraderJoe,USDT.e,82868,0.2709,62562,0.46520000000000006,235.84%,(20x)
AVAX,USDT.e/DAI.e,TraderJoe,DAI.e,84931,0.2813,62548,0.4803,235.84%,(20x)
AVAX,JOE/AVAX,TraderJoe,JOE,86559,0.8073,50905,1.2959,148.70%,(5x)
AVAX,JOE/AVAX,TraderJoe,AVAX,71385,0.19949999999999998,55757,0.3757,148.70%,(5x)
AVAX,AVAX/SPELL,TraderJoe,AVAX,73387,0.321,56574,0.4974,435.72%,(5x)
AVAX,AVAX/SPELL,TraderJoe,SPELL,52291,0.0489,29713,0.10550000000000001,435.72%,(5x)
AVAX,USDC.e/AVAX,TraderJoe,USDC.e,35379,0.3064,28862,0.4314,804.34%,(5x)
AVAX,USDC.e/AVAX,TraderJoe,AVAX,31553,0.4728,28196,0.6169,804.34%,(5x)
AVAX,PNG/AVAX,Pangolin,PNG,39711,0.5886,29196,0.9423,-109.00%,(5x)
AVAX,PNG/AVAX,Pangolin,AVAX,33103,0.2761,26725,0.4668,-109.00%,(5x)
AVAX,AVAX/USDT.e,TraderJoe,AVAX,28909,0.45439999999999997,26120,0.5881000000000001,856.30%,(5x)
AVAX,AVAX/USDT.e,TraderJoe,USDT.e,26774,0.3691,25056,0.4993,856.30%,(5x)
AVAX,AVAX/XAVA,TraderJoe,AVAX,19843,0.4018,16990,0.6604000000000001,252.72%,(5x)
AVAX,AVAX/XAVA,TraderJoe,XAVA,16669,0.2186,14634,0.5131,252.72%,(5x)
AVAX,YAK/AVAX,TraderJoe,YAK,11125,0.055,6455,0.1012,279.25%,(5x)
AVAX,YAK/AVAX,TraderJoe,AVAX,26777,0.2701,19779,0.439,279.25%,(5x)
AVAX,AVAX/PEFI,TraderJoe,AVAX,5990,0.0113,5990,0.03,127.34%,(5x)
AVAX,AVAX/PEFI,TraderJoe,PEFI,7067,2.4893,4659,4.2036,127.34%,(5x)
AVAX,AVAX/SNOB,TraderJoe,AVAX,7799,0.38670000000000004,3458,0.6807,443.51%,(5x)
AVAX,AVAX/SNOB,TraderJoe,SNOB,5041,1.984,3166,3.6677,443.51%,(5x)
