blockchain,pair,dex,ticker,supply,supply_apr,borrowed,borrowed_apr,leveraged_apr,leveraged_apr_multiplier,contract
MATIC,WETH/USDT,QuickSwap,USDT,24527.0,0.1759,18535.0,0.2812,18.92%,(5x),0x2912a338df9877905e54c557e4d826f84365602e
MATIC,WETH/AAVE,QuickSwap,WETH,36883.0,0.044199999999999996,20109.0,0.0867,-23.50%,(10x),0xc6c866c2c69ff093e14746e6f9dbc7a22e0e6522
MATIC,WETH/AAVE,QuickSwap,AAVE,22642.0,0.16469999999999999,15583.0,0.2724,-23.50%,(10x),0xc6c866c2c69ff093e14746e6f9dbc7a22e0e6522
MATIC,WETH/DAI,QuickSwap,WETH,23600.0,0.044800000000000006,16656.0,0.0889,8.38%,(5x),0x16aed35d0c1f5500b73063b10c0dad42b772ac23
MATIC,WETH/DAI,QuickSwap,DAI,18463.0,0.1998,13853.0,0.3333,8.38%,(5x),0x16aed35d0c1f5500b73063b10c0dad42b772ac23
MATIC,SUSHI/WETH,SushiSwap,SUSHI,19757.0,0.30329999999999996,12700.0,0.45640000000000003,27.13%,(10x),0xb5846453b67d0b4b4ce655930cf6e4129f4416d7
MATIC,SUSHI/WETH,SushiSwap,WETH,26250.0,0.0571,14985.0,0.0872,27.13%,(10x),0xb5846453b67d0b4b4ce655930cf6e4129f4416d7
MATIC,DATA/WETH,SushiSwap,DATA,28424.0,0.3276,19087.0,0.4697,-129.08%,(5x),0xb343cc2378dcff9a6f81b4eee3d8ecdc88560f6a
MATIC,DATA/WETH,SushiSwap,WETH,32037.0,0.36920000000000003,20677.0,0.41340000000000005,-129.08%,(5x),0xb343cc2378dcff9a6f81b4eee3d8ecdc88560f6a
MATIC,WETH/PNT,QuickSwap,WETH,31241.0,0.2065,13050.0,0.2059,131.58%,(5x),0x1e987756305c6506a8687e6ceb85872c48ceaa3b
MATIC,WETH/PNT,QuickSwap,PNT,8930.0,0.4903,5765.0,0.8844,131.58%,(5x),0x1e987756305c6506a8687e6ceb85872c48ceaa3b
MATIC,MATIC/WCRO,QuickSwap,MATIC,19835.0,0.2304,16258.0,0.11789999999999999,60.25%,(5x),0xc753c8e920a6c35315da5d15e8cfcd5b014fd280
MATIC,MATIC/WCRO,QuickSwap,WCRO,17151.0,1.5924,13768.0,2.0858000000000003,60.25%,(5x),0xc753c8e920a6c35315da5d15e8cfcd5b014fd280
MATIC,WETH/IDLE,SushiSwap,WETH,12072.0,0.1149,8345.0,0.1592,-364.57%,(5x),0x44559353f8edb965294c1448333369ca84df6298
